visibility,dt,id,name,coord.lon,coord.lat,main.temp,main.feels_like,main.temp_min,main.temp_max,main.pressure,main.humidity,wind.speed,wind.deg,clouds.all,sys.type,sys.id,sys.country,sys.sunrise,sys.sunset,weather_id,weather_main,weather_description,weather_icon,wind.gust,rain.1h,main.sea_level,main.grnd_level
10000,2023-07-27 20:46:10,2643743,London,-0.1257,51.5085,18.23,18.46,16.46,19.34,1004,90,4.12,240,20,2.0,2075535.0,GB,1690517856,1690574170,801,Clouds,few clouds,02n,,,,
10000,2023-07-27 20:45:00,5128581,New York,-74.006,40.7143,31.13,34.38,26.2,33.0,1012,57,6.69,270,0,1.0,4610.0,US,1690451258,1690503431,800,Clear,clear sky,01d,8.75,,,
10000,2023-07-27 20:44:13,3860259,Córdoba,-64.1811,-31.4135,12.92,11.42,9.47,14.86,993,44,1.79,66,0,2.0,2036678.0,AR,1690456088,1690493885,800,Clear,clear sky,01n,3.58,,,
10000,2023-07-27 20:40:05,1668341,Taipei,121.5319,25.0478,30.01,33.68,28.04,30.59,995,64,11.83,100,75,2.0,266033.0,TW,1690492740,1690540891,501,Rain,moderate rain,10d,16.98,2.05,,
10000,2023-07-27 20:45:06,3435910,Buenos Aires,-58.3772,-34.6132,10.77,9.78,9.43,11.64,1024,72,9.39,100,0,1.0,8224.0,AR,1690455076,1690492111,800,Clear,clear sky,01n,0.0,0.1,,
10000,2023-07-27 20:45:51,3530597,Mexico City,-99.1277,19.4285,15.53,15.02,15.53,16.17,1028,72,2.68,300,100,2.0,47729.0,MX,1690459853,1690506895,500,Rain,light rain,10d,,0.11,,
10000,2023-07-27 20:37:48,5344157,Dublin,-121.9358,37.7021,23.8,23.46,13.46,33.34,1015,47,8.75,290,0,2.0,2016191.0,US,1690463221,1690514474,800,Clear,clear sky,01d,11.32,,,
10000,2023-07-27 20:47:53,611717,Tbilisi,44.8337,41.6941,25.84,26.07,25.84,25.84,1010,61,3.09,60,100,1.0,8862.0,GE,1690509017,1690561428,804,Clouds,overcast clouds,04n,,,,
10000,2023-07-27 20:47:45,3688689,Bogota,-74.0817,4.6097,17.73,17.1,17.73,17.73,1027,59,3.09,130,20,1.0,8582.0,CO,1690455164,1690499561,801,Clouds,few clouds,02n,,,,
10000,2023-07-27 20:45:01,1850147,Tokyo,139.6917,35.6895,31.24,37.63,29.75,33.08,1015,68,6.69,180,20,2.0,268105.0,JP,1690487123,1690537791,801,Clouds,few clouds,02d,,,,
10000,2023-07-27 20:48:57,1140043,Helmand Province,64.0,31.0,30.56,28.74,30.56,30.56,997,21,4.55,218,2,,,AF,1690505890,1690555356,800,Clear,clear sky,01n,5.62,,997.0,919.0
10000,2023-07-27 20:48:58,5119232,Great River,-73.0,40.0,26.06,26.06,26.06,26.06,1014,88,12.25,213,31,,,US,1690451128,1690503078,802,Clouds,scattered clouds,03d,18.12,,1014.0,1014.0
10000,2023-07-27 20:49:00,3860801,Colonia Caroya,-64.0,-31.0,9.14,8.69,9.14,9.14,1022,52,1.48,336,4,1.0,8226.0,AR,1690455997,1690493889,800,Clear,clear sky,01n,1.42,,1022.0,969.0
10000,2023-07-27 20:49:01,1168312,Pasni,64.0,25.0,27.66,31.67,27.66,27.66,1002,83,5.47,252,100,,,PK,1690506557,1690554689,804,Clouds,overcast clouds,04n,5.82,,1002.0,1002.0
10000,2023-07-27 20:49:02,3441442,Ombues de Lavalle,-58.0,-34.0,8.15,6.63,8.15,8.15,1024,70,2.5,109,100,,,UY,1690454911,1690492096,804,Clouds,overcast clouds,04n,4.12,,1024.0,1016.0
10000,2023-07-27 20:49:03,3515434,Tlalnepantla,-99.0,19.0,19.71,19.64,16.99,20.33,1017,73,2.15,353,100,2.0,2027418.0,MX,1690459863,1690506823,804,Clouds,overcast clouds,04d,3.12,,1017.0,807.0
10000,2023-07-27 20:49:04,2746304,Tijnje,6.0,53.0,18.06,18.43,17.77,18.34,1002,96,4.03,251,100,2.0,2001318.0,NL,1690515997,1690573089,804,Clouds,overcast clouds,04n,8.52,,1002.0,1002.0
10000,2023-07-27 20:49:06,616971,Amasia,44.0,41.0,12.13,11.67,12.13,12.13,1013,87,1.9,40,0,1.0,8847.0,AM,1690509329,1690561517,800,Clear,clear sky,01n,1.72,,1013.0,763.0
10000,2023-07-27 20:49:07,1282027,Malé,74.0,4.0,28.06,31.06,28.06,28.06,1011,72,0.48,184,59,,,MV,1690506078,1690550367,803,Clouds,broken clouds,04n,0.52,,1011.0,1011.0
10000,2023-07-27 20:49:08,1851632,Shuzenji,139.0,35.0,30.73,36.88,27.65,30.73,1014,70,0.49,126,58,2.0,2019346.0,JP,1690487381,1690537865,803,Clouds,broken clouds,04d,0.52,,,
